"","denue_2021_merida$nombre_act"
"80876","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector público"
"81135","Agencias de representación de medios"
"81198","Servicios veterinarios para la ganadería prestados por el sector público"
"81318","Distribución de material publicitario"
"82084","Corporativos"
"82085","Tenedoras de acciones"
"82095","Agencias de viajes"
"82096","Servicios de administración de negocios"
"82097","Servicios de protección y custodia mediante el monitoreo de sistemas de seguridad"
"82098","Suministro de personal permanente"
"82099","Servicios de control y exterminación de plagas"
"82103","Servicios de investigación y de protección y custodia, excepto mediante monitoreo"
"82105","Agencias de empleo temporal"
"82110","Agencias de colocación"
"82111","Agencias de cobranza"
"82119","Organizadores de convenciones y ferias comerciales e industriales"
"82240","Otros servicios de apoyo secretarial y similares"
"82251","Otros servicios de reservaciones"
"82254","Servicios de fotocopiado, fax y afines"
"82260","Servicios de acceso a computadoras"
"82271","Tratamiento y disposición final de residuos no peligrosos por el sector privado"
"82278","Otros servicios de manejo de residuos por el sector privado"
"82281","Otros servicios de apoyo a los negocios"
"82282","Recolección de residuos no peligrosos por el sector público"
"82293","Otros servicios de limpieza"
"82295","Servicios de instalación y mantenimiento de áreas verdes"
"82313","Servicios de casetas telefónicas"
"82315","Servicios de recepción de llamadas telefónicas y promoción por teléfono"
"82319","Organización de excursiones y paquetes turísticos para agencias de viajes"
"82323","Servicios de remediación de residuos por el sector privado"
"82351","Servicios combinados de apoyo en instalaciones"
"82803","Servicios de limpieza de inmuebles"
"82808","Tratamiento y disposición final de residuos peligrosos por el sector privado"
"82876","Servicios de empacado y etiquetado"
"82967","Despachos de investigación de solvencia financiera"
"82983","Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos"
"83011","Servicios de preparación de documentos"
"83018","Recolección de residuos no peligrosos por el sector privado"
"83196","Servicios de limpieza de tapicería, alfombras y muebles"
"83657","Escuelas de educación primaria del sector público"
"83658","Escuelas de arte del sector privado"
"83659","Otros servicios educativos proporcionados por el sector privado"
"83663","Escuelas del sector privado dedicadas a la enseñanza de oficios"
"83664","Escuelas de deporte del sector privado"
"83696","Servicios de profesores particulares"
"83725","Escuelas de arte del sector público"
"83767","Escuelas de idiomas del sector privado"
"83788","Escuelas de educación técnica superior del sector privado"
"83792","Escuelas de idiomas del sector público"
"83805","Escuelas de educación preescolar del sector privado"
"83810","Escuelas de educación media técnica terminal del sector privado"
"83813","Escuelas del sector privado que combinan diversos niveles de educación"
"83822","Escuelas del sector público dedicadas a la enseñanza de oficios"
"83824","Escuelas de educación superior del sector privado"
"83830","Escuelas de educación preescolar del sector público"
"83832","Escuelas de educación primaria del sector privado"
"83853","Escuelas del sector público de educación para necesidades especiales"
"83899","Escuelas del sector público que combinan diversos niveles de educación"
"83923","Escuelas de educación superior del sector público"
"83926","Escuelas de educación media superior del sector público"
"83941","Escuelas de educación secundaria general del sector privado"
"83954","Servicios de apoyo a la educación"
"84001","Escuelas de deporte del sector público"
"84004","Escuelas de computación del sector privado"
"84009","Escuelas de computación del sector público"
"84013","Otros servicios educativos proporcionados por el sector público"
"84064","Escuelas de educación media superior del sector privado"
"84074","Escuelas del sector privado de educación para necesidades especiales"
"84312","Escuelas de educación secundaria técnica del sector privado"
"84488","Escuelas para la capacitación de ejecutivos del sector privado"
"84660","Escuelas de educación secundaria general del sector público"
"85635","Escuelas de educación secundaria técnica del sector público"
"85841","Escuelas comerciales y secretariales del sector privado"
"87215","Escuelas de educación técnica superior del sector público"
"87231","Consultorios de medicina general del sector privado"
"87232","Consultorios de medicina especializada del sector privado"
"87233","Agrupaciones de autoayuda para alcohólicos y personas con otras adicciones"
"87241","Consultorios de nutriólogos y dietistas del sector privado"
"87242","Otros consultorios del sector privado para el cuidado de la salud"
"87244","Consultorios dentales del sector privado"
"87245","Hospitales del sector privado de otras especialidades médicas"
"87246","Servicios de alimentación comunitarios prestados por el sector privado"
"87248","Consultorios de quiropráctica del sector privado"
"87252","Orfanatos y otras residencias de asistencia social del sector público"
"87253","Refugios temporales comunitarios del sector privado"
"87257","Refugios temporales comunitarios del sector público"
"87259","Asilos y otras residencias del sector privado para el cuidado de ancianos"
"87260","Orfanatos y otras residencias de asistencia social del sector privado"
"87267","Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
"87274","Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción"
"87375","Residencias del sector privado para el cuidado de personas con problemas de retardo mental"
"87421","Servicios de capacitación para el trabajo prestados por el sector público para personas desempleadas, subempleadas o discapacitadas"
"87425","Clínicas de consultorios médicos del sector público"
"87426","Laboratorios médicos y de diagnóstico del sector público"
"87428","Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje"
"87433","Servicios de ambulancias"
"87435","Laboratorios médicos y de diagnóstico del sector privado"
"87467","Consultorios de optometría"
"87468","Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado"
"87475","Consultorios de psicología del sector privado"
"87476","Centros del sector privado dedicados a la atención y cuidado diurno de ancianos y discapacitados"
"87482","Guarderías del sector privado"
"87499","Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado"
"87503","Clínicas de consultorios médicos del sector privado"
"87535","Guarderías del sector público"
"87549","Centros del sector público dedicados a la atención y cuidado diurno de ancianos y discapacitados"
"87558","Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público"
"87569","Hospitales generales del sector público"
"87578","Hospitales generales del sector privado"
"87611","Consultorios de psicología del sector público"
"87639","Centros del sector privado de atención médica externa para enfermos mentales y adictos"
"87640","Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
"87641","Otros centros del sector público para la atención de pacientes que no requieren hospitalización"
"87651","Otros servicios de orientación y trabajo social prestados por el sector público"
"87652","Servicios de alimentación comunitarios prestados por el sector público"
"87657","Consultorios del sector público de audiología y de terapia ocupacional, física y del lenguaje"
"87670","Consultorios de medicina general del sector público"
"87691","Asilos y otras residencias del sector público para el cuidado de ancianos"
"87703","Hospitales del sector público de otras especialidades médicas"
"87705","Otros servicios de orientación y trabajo social prestados por el sector privado"
"87708","Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción"
"87709","Centros del sector público de atención médica externa para enfermos mentales y adictos"
"87746","Consultorios dentales del sector público"
"87790","Otros centros del sector privado para la atención de pacientes que no requieren hospitalización"
"87827","Hospitales psiquiátricos y para el tratamiento por adicción del sector privado"
"87865","Otros consultorios del sector público para el cuidado de la salud"
"87938","Consultorios de medicina especializada del sector público"
"87944","Centros de planificación familiar del sector privado"
"87945","Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público"
"87953","Hospitales psiquiátricos y para el tratamiento por adicción del sector público"
"88315","Servicios de capacitación para el trabajo prestados por el sector privado para personas desempleadas, subempleadas o discapacitadas"
"90134","Centros de planificación familiar del sector público"
"90525","Servicios de emergencia comunitarios prestados por el sector público"
"90672","Servicios de enfermería a domicilio"
"92310","Centros de acondicionamiento físico del sector privado"
"92315","Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo"
"92316","Parques de diversiones y temáticos del sector privado"
"92318","Equipos deportivos profesionales"
"92319","Otros servicios recreativos prestados por el sector privado"
"92322","Artistas, escritores y técnicos independientes"
"92348","Agentes y representantes de artistas, deportistas y similares"
"92349","Jardines botánicos y zoológicos del sector privado"
"92351","Parques acuáticos y balnearios del sector privado"
"92355","Boliches"
"92356","Clubes o ligas de aficionados"
"92364","Museos del sector privado"
"92366","Otras compañías y grupos de espectáculos artísticos del sector privado"
"92367","Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos"
"92368","Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos"
"92426","Marinas turísticas"
"92427","Parques de diversiones y temáticos del sector público"
"92428","Casas de juegos electrónicos"
"92432","Billares"
"92460","Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos"
"92462","Cantantes y grupos musicales del sector privado"
"92487","Centros de acondicionamiento físico del sector público"
"92514","Clubes deportivos del sector público"
"92532","Otros juegos de azar"
"92547","Grutas, parques naturales y otros sitios del patrimonio cultural de la nación"
"92556","Museos del sector público"
"92631","Compañías de danza del sector privado"
"92633","Clubes deportivos del sector privado"
"92875","Grupos musicales del sector público"
"92900","Compañías de teatro del sector público"
"93196","Otros servicios recreativos prestados por el sector público"
"93243","Parques acuáticos y balnearios del sector público"
"93357","Compañías de teatro del sector privado"
"93417","Jardines botánicos y zoológicos del sector público"
"93972","Restaurantes con servicio de preparación de tacos y tortas"
"93973","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida"
"93974","Cafeterías, fuentes de sodas, neverías, refresquerías y similares"
"93976","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
"93978","Servicios de preparación de alimentos en unidades móviles"
"93982","Restaurantes que preparan otro tipo de alimentos para llevar"
"93986","Servicios de preparación de otros alimentos para consumo inmediato"
"93988","Restaurantes con servicio de preparación de pescados y mariscos"
"93991","Restaurantes con servicio de preparación de antojitos"
"93995","Servicios de preparación de alimentos para ocasiones especiales"
"93996","Hoteles con otros servicios integrados"
"94001","Servicios de comedor para empresas e instituciones"
"94003","Bares, cantinas y similares"
"94009","Cabañas, villas y similares"
"94039","Pensiones y casas de huéspedes"
"94046","Restaurantes de autoservicio"
"94579","Hoteles sin otros servicios integrados"
"94584","Departamentos y casas amueblados con servicios de hotelería"
"94677","Moteles"
"94703","Campamentos y albergues recreativos"
"94848","Centros nocturnos, discotecas y similares"
"111165","Asociaciones y organizaciones religiosas"
"111168","Lavado y lubricado de automóviles y camiones"
"111170","Salones y clínicas de belleza y peluquerías"
"111172","Lavanderías y tintorerías"
"111173","Servicios de revelado e impresión de fotografías"
"111174","Reparación y mantenimiento de maquinaria y equipo industrial"
"111175","Reparación y mantenimiento de otro equipo electrónico y de equipo de precisión"
"111176","Hojalatería y pintura de automóviles y camiones"
"111177","Reparación y mantenimiento de otros artículos para el hogar y personales"
"111178","Instalación de cristales y otras reparaciones a la carrocería de automóviles y camiones"
"111181","Otros servicios de reparación y mantenimiento de automóviles y camiones"
"111185","Reparación y mantenimiento de equipo electrónico de uso doméstico"
"111187","Reparación mecánica en general de automóviles y camiones"
"111190","Otras reparaciones mecánicas de automóviles y camiones"
"111199","Otros servicios personales"
"111200","Asociaciones y organizaciones de profesionistas"
"111211","Asociaciones y organizaciones civiles"
"111214","Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios"
"111229","Reparación y mantenimiento de aparatos eléctricos para el hogar y personales"
"111232","Rectificación de partes de motor de automóviles y camiones"
"111245","Reparación menor de llantas"
"111248","Alineación y balanceo de automóviles y camiones"
"111256","Asociaciones y organizaciones laborales y sindicales"
"111277","Reparación de suspensiones de automóviles y camiones"
"111350","Reparación y mantenimiento de maquinaria y equipo comercial y de servicios"
"111467","Cerrajerías"
"111484","Reparación del sistema eléctrico de automóviles y camiones"
"111591","Estacionamientos y pensiones para vehículos automotores"
"111613","Reparación de transmisiones de automóviles y camiones"
"111621","Reparación y mantenimiento de maquinaria y equipo para mover, levantar y acomodar materiales"
"111627","Sanitarios públicos y bolerías"
"111629","Baños públicos"
"111844","Reparación y mantenimiento de bicicletas"
"111860","Reparación y mantenimiento de motocicletas"
"111888","Reparación de tapicería de muebles para el hogar"
"111890","Servicios funerarios"
"111983","Reparación de calzado y otros artículos de piel y cuero"
"111990","Administración de cementerios pertenecientes al sector privado"
"111991","Administración de cementerios pertenecientes al sector público"
"113075","Reparación y mantenimiento de maquinaria y equipo agropecuario y forestal"
"113772","Tapicería de automóviles y camiones"
"121474","Servicios de blindaje y de adaptación de automóviles y camiones"
"128414","Actividades de seguridad nacional"
"128415","Administración pública en general"
"128419","Actividades administrativas de instituciones de bienestar social"
"128422","Impartición de justicia y mantenimiento de la seguridad y el orden público"
"128437","Regulación y fomento del desarrollo económico"
"128470","Órganos legislativos"
"128506","Regulación y fomento de actividades para mejorar y preservar el medio ambiente"
"129595","Organismos internacionales"
"129782","Relaciones exteriores"
